Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,6.65031036894191,6.66730834168741,6.68824576701073,6.70922635305278,6.72492992979071,6.73745943915781,6.76648648398455,6.77549319640557,6.7825231473586,6.78281325136195,6.79270924423155,6.79899797307995,6.79835183147635,6.79603792998549,6.79297208563693,6.78336232325025,6.76829164257841,6.74940517002009,6.73332529073522,6.71517811064519,6.69461156323483,6.66376949580984,6.63544939064984,6.59534764547448,6.54988619558372,6.50024081179738,6.44827093188949,6.39868038918192,6.32904104386327,6.24992878317002,6.16021171875849,6.09484601741377,6.02821887809703,5.97024615922812,5.91123813561732,5.85348014036154,5.78158012010132,5.71082027615964,5.66288610499311,5.61161901998499,5.54989301895013,5.50176609365985,5.44969577120575,5.40732792013545,5.38130825995291,5.35039851932097,5.30592047242956,5.25398480103277,5.21940349533757,5.14253544179731,5.06649694569372,4.98101550181667,4.89958534111926,4.81956335424637,4.74807426510375,4.676508011604,4.61574383851019,4.56988358574791,4.52144320133481,4.47133814751909,4.41297254940111,4.3506825352307,4.28703336709338,4.22382000342151
Africa Western and Central,AFW,6.46888704883706,6.47835126186335,6.49227741856121,6.50022920724497,6.51673939516406,6.53276603121599,6.55655005649911,6.5827169117696,6.60729720141702,6.63356896572475,6.65583553302889,6.69732290843661,6.73353157968879,6.76414778290127,6.80228560735801,6.8391130781294,6.85852611448182,6.89030962607632,6.9160955426336,6.9048691347289,6.88804350276798,6.87158701228345,6.84672705783816,6.81942637386953,6.77010869715948,6.7177376638091,6.67648418222943,6.62994705598296,6.59441228277116,6.56225362551054,6.51688646577118,6.4702984462235,6.41768163159521,6.36200214230226,6.29917221320364,6.23626251821371,6.17144242047668,6.1034962406388,6.04479367728873,6.02793230670537,6.02214272981906,5.99007410329012,5.95620213584871,5.92357302720715,5.89551358763435,5.87177032127738,5.84602826670684,5.80965086668807,5.78547347244462,5.75112008903331,5.71289596656524,5.66566707694786,5.59679953142373,5.51546824365668,5.44001848340923,5.34659582634864,5.22897623531264,5.09888534179775,4.96257068098246,4.82913447807754,4.7073988083188,4.63774085975902,4.56335400847357,4.49770681255146
Arab World,ARB,6.92203318142748,6.97214164003418,7.07506183841561,7.06651621863442,7.040108892229,6.99572980831693,6.97006646898323,6.94757072656492,6.92058834697034,6.88622907990047,6.85324916247493,6.81247936353208,6.76441219938223,6.70933975774271,6.66173747850986,6.61676653259842,6.56932052403797,6.50558714076787,6.43943191179615,6.38534031749251,6.31505967411158,6.22969733689023,6.15238948628116,6.0674616818145,5.95526449260975,5.83765214424102,5.69632046171871,5.5625706977479,5.43363430919222,5.28417325945673,5.15485883194052,5.0127064562784,4.87043694708586,4.72248668278884,4.59348434436688,4.43526942204969,4.29082607782232,4.19151507626843,4.10449389117135,4.0159586665213,3.93474923419248,3.85844968262325,3.78100074910528,3.72725438909958,3.6796507015543,3.6433356042585,3.61922849596914,3.60428476711649,3.58028520655661,3.57118607702881,3.57186073483879,3.56597589031882,3.58216031979128,3.5741271698933,3.56212633472775,3.53244359112271,3.46298807812024,3.42519822145484,3.32426875614683,3.25509307857063,3.20826865698484,3.14558842701715,3.10776674481051,3.08975083762374
Central Europe and the Baltics,CEB,2.49178453894492,2.39785654955442,2.30703378564719,2.31105453758811,2.25805299100354,2.2059292492467,2.12881236631245,2.47914307382557,2.45646376597215,2.35427147281504,2.28375631390379,2.25959276238533,2.23573996376048,2.24943064836784,2.36433701484148,2.33828750419754,2.32272817151662,2.28450038228502,2.24957781638885,2.25568817418042,2.1966569925957,2.15083974781709,2.139980297603,2.14266457172837,2.16364678216044,2.16186608194946,2.13787006990764,2.09737155169541,2.07819977517517,2.01820598375488,1.93049087711298,1.85424166322448,1.74984681538824,1.66998200520003,1.58951955016506,1.46845538491997,1.42923712401979,1.38166613931049,1.33855595147394,1.3079163778949,1.31777162376956,1.27547143482851,1.2533647469042,1.25106592539215,1.2764470903797,1.31266924216896,1.34198925571287,1.38121771530771,1.46350338600242,1.48761303763204,1.46183448121757,1.3933610504725,1.41601351724117,1.39147069378032,1.44674357225339,1.46689050277441,1.52845198024661,1.589114330923,1.5818965388923,1.57825452419045,1.56743022245618,1.56807253752419,1.49394411075471,1.40721045615752
Channel Islands,CHI,2.34,2.41,2.52,2.63,2.66,2.57,2.42,2.28,2.21,2.13,2.01,1.95,1.76,1.66,1.58,1.51,1.44,1.47,1.46,1.47,1.45,1.42,1.39,1.44,1.4,1.4,1.43,1.46,1.48,1.49,1.51,1.47,1.47,1.42,1.47,1.45,1.49,1.51,1.51,1.51,1.49,1.48,1.47,1.51,1.5,1.46,1.47,1.53,1.56,1.57,1.58,1.59,1.58,1.56,1.54,1.5,1.46,1.41,1.37,1.35,1.33,1.36,1.37,1.37
Caribbean small states,CSS,5.85023592610682,5.7863097441655,5.76346643526514,5.69391359145485,5.58664901101963,5.45815615583225,5.30150391761962,5.08500616746279,4.92155149126909,4.72948942058355,4.5640614327613,4.45438780626371,4.33156351542142,4.17478776104427,3.9955944801909,3.83958162524921,3.70574532032616,3.60914250721294,3.50000298182478,3.43467741335494,3.36833475735703,3.32911046406523,3.30555137277819,3.27399248414827,3.19246479464954,3.15352473513669,3.07491146625372,2.98846436626045,2.90166769592373,2.84743931545297,2.79027693496039,2.72599508297289,2.69224325298193,2.62627686670642,2.57484667360856,2.52831385271779,2.47629221092829,2.4432196949285,2.39071342332084,2.37857977361191,2.35137780439936,2.31066997900525,2.23982429264919,2.1852528394754,2.13970507724018,2.12845381394826,2.12013424579263,2.11877694697564,2.11485071339737,2.10828447010003,2.07173708976326,2.05288830372261,2.04752911622727,2.0402098675255,2.02565875580618,1.99918301132213,1.96956231728783,1.9372641969766,1.92045221448125,1.89179306364999,1.87036153838502,1.8396718940957,1.83848523008097,1.83168008600287
East Asia & Pacific (excluding high income),EAP,4.83110181718473,4.37755549899838,6.01855126399584,7.05774484680061,6.44237102606128,6.38663039137524,6.16077792401454,5.79181914146062,6.29098438446004,6.03424111073792,5.94760452521829,5.51474525695755,5.19567741087837,4.88069511487259,4.42622678163375,3.96321575761353,3.68569866750667,3.36925698255625,3.24869961120539,3.2403015276764,3.20575487978324,3.21219642516331,3.31795736755402,2.99040694227051,2.99012490784225,2.96074344490655,2.97929902376099,2.97354174585678,2.79113587321177,2.75716688432265,2.73172329262826,2.30075145434288,2.16310632767419,2.08513769819031,2.02347592700793,1.97817529270266,1.93759258629366,1.89965881124218,1.87396113255707,1.86012063742824,1.91730006429306,1.86452654876186,1.8570246904893,1.85142686166263,1.86905650640618,1.87644275680172,1.89055580188736,1.90758413464005,1.92881250264633,1.93477952791717,1.91349993221803,1.90530229321258,1.99107765870115,1.9221824900928,1.95215689037872,1.87853330070305,1.92845332128009,1.92583111307555,1.74043475080494,1.70480430061126,1.52789689503569,1.4404934680796,1.38552648865081,1.36140449889156
Early-demographic dividend,EAR,6.1536669226445,6.16668872661336,6.1761483396803,6.17952516431696,6.17664133094049,6.14852762636846,6.10967451899681,6.07156034491763,6.02422498695676,5.9711919511593,5.91828377905487,5.85755303284479,5.78287864872121,5.70809333742974,5.62751269873822,5.53317157247861,5.46486626873774,5.36983904471833,5.28843833146727,5.21752492346736,5.15926051703508,5.07837937050919,5.00374602735477,4.92909518921829,4.85216499402132,4.74552926759924,4.65814508835805,4.55387237304121,4.45133843034322,4.34844574645711,4.24500380356312,4.14767285929029,4.04087463298077,3.94692179414883,3.85788428839654,3.76582479874717,3.67727392583173,3.59890907324413,3.52117022719808,3.45184570442009,3.3912390510628,3.33078739753371,3.25305216479698,3.17868414584789,3.11500627722658,3.0577445556333,3.00610536836879,2.95367185736481,2.91176570123054,2.87307156290405,2.82072261952737,2.77693436477876,2.73636596542955,2.68692961890405,2.62682355328164,2.606063609279,2.57543828929898,2.51536902880117,2.48215945277498,2.42779561788204,2.37325097006909,2.34167487073807,2.3189517975754,2.29816654586579
East Asia & Pacific,EAS,4.552018956377,4.15886057355196,5.52664149337645,6.38844597578321,5.86395908828366,5.8190394333137,5.56715731929579,5.32208660399267,5.73717146674616,5.52322867424715,5.45763094223014,5.0969417468987,4.81468234128564,4.54617826928571,4.14161342578447,3.72018111972918,3.46987253844866,3.19150913246053,3.08116103403719,3.08182116702355,3.0495518622526,3.05051268188116,3.14116074293095,2.85000702153672,2.84219181900126,2.81189279363787,2.8221145123497,2.81596977422875,2.65818562808847,2.62121065417664,2.60053980517291,2.22199667109091,2.10106663908457,2.02771962689827,1.97572387066931,1.93039834584814,1.89315545591712,1.85668620609859,1.82784812254818,1.81413030959731,1.87030131869665,1.81392801583052,1.80360842119829,1.79659548903584,1.81225270397003,1.81620168162304,1.83449759597526,1.85473440682623,1.87387155443301,1.87816877219437,1.86033578165821,1.85575287492533,1.93847005657334,1.87079702863895,1.89901337242406,1.83427086836941,1.87658988593015,1.87010279533446,1.69915751133178,1.662105630106,1.49672637080882,1.41678319124714,1.36272811190401,1.33558030329751
Europe & Central Asia (excluding high income),ECA,3.94182944873664,3.93068784200818,3.91627035962395,3.88902766092931,3.82917243746435,3.7754358418785,3.78177059902915,3.74794017107364,3.70158493852003,3.66879793614197,3.67111998532494,3.66525178449626,3.64230535354118,3.57231229348141,3.53036510452184,3.47771411291635,3.42185349324266,3.34416377140525,3.28756061804086,3.24496308912272,3.19796029316006,3.15266369215032,3.12774959760992,3.14061137691339,3.11885578730854,3.07019004526447,3.06827955373804,3.01242417898412,2.94233309088917,2.85069056714788,2.74773273220308,2.69437459933243,2.60726526636366,2.52025636273288,2.43106773646375,2.36790852205595,2.26413154200845,2.20215224389354,2.15188658473363,2.08070189736967,2.00474150351362,1.95682096363437,1.92607198972957,1.92721327064399,1.95922809070334,1.95166240174491,1.98577274774906,2.01844199305995,2.06586049973884,2.05914876383274,2.04838130370044,2.03687878091443,2.08613304557465,2.10560009634719,2.15899424495663,2.14347872262226,2.12454802060351,2.07755730873508,2.07164815334434,2.05853927210627,2.04948188927785,2.0541221932564,1.99842365385872,1.98401223277125
Europe & Central Asia,ECS,2.83848368529264,2.83207926574286,2.81083794946942,2.80931620543911,2.80041411849247,2.74843557312999,2.72189747284275,2.72667143391915,2.67004911946736,2.61310963153686,2.56598360836375,2.55153281110075,2.49136129914704,2.4228570664676,2.40865360780193,2.35401265642159,2.31747440331331,2.2612638822947,2.22357674262737,2.20084675190752,2.17563068727892,2.13963702625444,2.14518035515243,2.13891784249318,2.11676482346068,2.10368623019742,2.11613485845146,2.10610527130547,2.07558924572592,2.01533051682435,1.96637211064167,1.9005616022114,1.82774475273944,1.75426980910503,1.71174967866184,1.66265987414233,1.62662628732807,1.60334431616136,1.58833526902644,1.55741289168292,1.55971720030111,1.54277830197497,1.546149072613,1.56349836873146,1.59242747917453,1.58832669139474,1.61837242362273,1.66018433007585,1.7166209979042,1.71823360798727,1.72571098484824,1.70952131118022,1.7442399348379,1.73594480249259,1.77196033395473,1.77299099045995,1.77904716297953,1.73639932903692,1.71614712469713,1.68798801549177,1.67139674229224,1.6846754677544,1.61774858492685,1.57901896941557
Euro area,EMU,2.59975818607113,2.63015351026318,2.63518538965192,2.67266741909255,2.72530161970623,2.67505632586126,2.65722370598909,2.61187561645373,2.54258030640495,2.47939531607294,2.38410272407059,2.33847189433581,2.23260014100804,2.12941410799483,2.09649412590041,2.02084109974449,1.98135683886252,1.90748879779704,1.85314203911304,1.80266909207033,1.77644703701026,1.72809029657114,1.70125419113931,1.64318451254864,1.60649944814442,1.59482388236642,1.58307328931414,1.55983721546578,1.56651482703042,1.53156206768297,1.53615867510014,1.48982168580762,1.46860137918803,1.43667684217113,1.39942410584762,1.38642376809999,1.40044552647729,1.4208806854498,1.41837372215353,1.43078825387215,1.47000450326359,1.45710414572335,1.45922787298589,1.47324556629415,1.4957103896907,1.49861296956154,1.52311106055284,1.53830556995239,1.57810215695352,1.56180805370808,1.57511738680375,1.5560401473683,1.55179485470635,1.52942858218294,1.55214477889914,1.54977026045957,1.57007164981904,1.54580992787289,1.52642188392298,1.50367163161597,1.47945704089057,1.50830730430334,1.44288706498202,1.37678099626159
European Union,EUU,2.57148406298234,2.57127117139189,2.55482184429642,2.58790101222227,2.61602359254131,2.56288433357445,2.5290730551769,2.58684682161097,2.52373931220099,2.44429422036683,2.35310353605946,2.31232561159444,2.22577061085602,2.15121217250223,2.1583055980113,2.0943481561713,2.05668031073776,1.99026878483879,1.93973162441373,1.90358956455868,1.86985136397673,1.8191442782873,1.79530089701993,1.74981352501638,1.72948024443598,1.72306773399727,1.71015963890362,1.68481652827392,1.68758639688002,1.65132732815289,1.63540106735697,1.58421221520796,1.54549261505656,1.50294229778096,1.45810584322542,1.41557612024209,1.41348799206282,1.41591693630542,1.40566053953101,1.40794645144903,1.44135977576762,1.42305392851186,1.421192523437,1.43252409175518,1.45605849043865,1.46660715604414,1.49455545268576,1.5151566756709,1.56501549943226,1.55740674486307,1.5634616186116,1.52959407141605,1.53161547008715,1.50802099752337,1.53792794697248,1.54008667093178,1.57014308662688,1.56432682451614,1.54686849145319,1.52723560688075,1.5055152515273,1.52616520464091,1.45656447411585,1.38609885893717
Fragile and conflict affected situations,FCS,5.58956986236962,5.60859265744044,5.65982965903343,5.67513213107138,5.68216021433644,5.68807233155242,5.7225221964084,5.73492522566151,5.74668918604134,5.75544771940534,5.77911734638597,5.80275436208003,5.81902678059092,5.81981757828618,5.84299845106685,5.86127739207105,5.87371241673161,5.8835632824832,5.90126318108436,5.89902405940571,5.88802010404186,5.86792839306617,5.86211251361191,5.8710919777835,5.83966573894096,5.79544464421952,5.77109647761109,5.72980805690706,5.6977509962216,5.66273798152519,5.62663421158976,5.58648513658607,5.54116006332198,5.49251985812403,5.44767359786126,5.40255704564943,5.34063641035368,5.28745913649839,5.23805194634838,5.20921779597976,5.1914240218468,5.16138694831709,5.13129446967936,5.09873296530967,5.06822390175793,5.03372073448969,5.01011598024202,4.97812986601058,4.95974867829399,4.93368186091058,4.8959233094296,4.86016219417042,4.81315495271382,4.75599746020578,4.70910682849292,4.65280278789177,4.58901139342968,4.51825859293666,4.4543544536253,4.39265166870199,4.32662442806955,4.27545113747126,4.22091823482488,4.18166207272727
