Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Africa Eastern and Southern,AFE,130075728.0,133534923.0,137171659.0,140945536.0,144904094.0,149033472.0,153281203.0,157704381.0,162329396.0,167088245.0,171984985.0,177022314.0,182126556.0,187524135.0,193186642.0,198914573.0,204802976.0,210680842.0,217074286.0,223974122.0,230792729.0,238043099.0,245822010.0,253644643.0,261458202.0,269450407.0,277621771.0,286067346.0,294498625.0,302939121.0,311748681.0,320442961.0,329082707.0,338324002.0,347441809.0,356580375.0,366138524.0,375646235.0,385505757.0,395750933.0,406156661.0,416807868.0,427820358.0,439173286.0,450928044.0,463076637.0,475606210.0,488580707.0,502070763.0,516003448.0,530308387.0,544737983.0,559609961.0,575202699.0,590968990.0,607123269.0,623369401.0,640058741.0,657801085.0,675950189.0,694446100.0,713090928.0,731821393.0,750491370.0,769280888.0
Africa Western and Central,AFW,97630925.0,99706674.0,101854756.0,104089175.0,106388440.0,108772632.0,111246953.0,113795019.0,116444636.0,119203521.0,122086536.0,125072948.0,128176494.0,131449942.0,134911581.0,138569918.0,142337272.0,146258576.0,150402616.0,154721711.0,159166518.0,163762473.0,168585118.0,173255157.0,177880746.0,182811038.0,187889141.0,193104347.0,198485027.0,204062274.0,209566031.0,215178709.0,221191375.0,227246778.0,233360104.0,239801875.0,246415446.0,253207584.0,260297834.0,267506298.0,274968446.0,282780717.0,290841795.0,299142845.0,307725100.0,316588476.0,325663158.0,334984176.0,344586109.0,354343844.0,364358270.0,374790143.0,385360349.0,396030207.0,406992047.0,418127845.0,429454743.0,440882906.0,452195915.0,463365429.0,474569351.0,485920997.0,497387180.0,509398589.0,521764076.0
Arab World,ARB,91540853.0,93931683.0,96428599.0,99038509.0,101729760.0,104494008.0,107403055.0,110491709.0,113712171.0,117053219.0,120469263.0,123950810.0,127535560.0,131335660.0,135282861.0,139495837.0,144014135.0,148599336.0,153568663.0,159054118.0,164657321.0,170015485.0,175370356.0,180973288.0,186733957.0,192563243.0,198509771.0,204524595.0,210269696.0,215969068.0,223184294.0,228402316.0,234321565.0,240926205.0,247626514.0,253952538.0,260229121.0,266565183.0,273094199.0,279709634.0,286548096.0,293580252.0,300691509.0,307815105.0,315060277.0,322628451.0,330526310.0,338947976.0,347684619.0,356386673.0,363568534.0,372054934.0,381030177.0,390954281.0,400231008.0,410190679.0,419808341.0,428315886.0,435998060.0,444281315.0,453723239.0,460646603.0,471352066.0,482105978.0,492612632.0
Central Europe and the Baltics,CEB,91401309.0,92231375.0,93008589.0,93840016.0,94715795.0,95440988.0,96146336.0,97043270.0,97884022.0,98606630.0,99134548.0,99635258.0,100357161.0,101112680.0,101939916.0,102860571.0,103776068.0,104616884.0,105329397.0,105948616.0,106541316.0,107129392.0,107730380.0,108297837.0,108838073.0,109338285.0,109824166.0,110296425.0,110686740.0,110801640.0,110743128.0,110469467.0,110111454.0,110041924.0,110021594.0,109864246.0,109626194.0,109422013.0,109238340.0,109060951.0,108447824.0,107660041.0,106959751.0,106624167.0,106331716.0,106041911.0,105772481.0,105378748.0,105001883.0,104800475.0,104421447.0,104174038.0,103929494.0,103570062.0,103280478.0,102973167.0,102647939.0,102337501.0,102074201.0,101864274.0,101215763.0,100205732.0,100071871.0,100183707.0,100061963.0
Channel Islands,CHI,110808.0,111782.0,112953.0,114234.0,115561.0,116879.0,118186.0,119505.0,120793.0,122039.0,123288.0,124555.0,125764.0,126873.0,127893.0,128781.0,129391.0,129726.0,129981.0,130220.0,130462.0,131078.0,132172.0,133413.0,134727.0,136075.0,137413.0,138743.0,140089.0,141501.0,143087.0,144269.0,144733.0,144984.0,145163.0,145247.0,145565.0,146214.0,146906.0,147554.0,148110.0,148850.0,149881.0,150960.0,152039.0,153126.0,154214.0,155309.0,156408.0,157511.0,158621.0,159706.0,160767.0,161777.0,162726.0,163454.0,163883.0,164319.0,164949.0,165639.0,166235.0,166741.0,167215.0,167691.0,168126.0
Caribbean small states,CSS,2558348.0,2614258.0,2670187.0,2728278.0,2784804.0,2839698.0,2894435.0,2948759.0,3002786.0,3055925.0,3104308.0,3148560.0,3185617.0,3215024.0,3242803.0,3269733.0,3296410.0,3322722.0,3348386.0,3373242.0,3399087.0,3425354.0,3450895.0,3476621.0,3502418.0,3530570.0,3559870.0,3586018.0,3610609.0,3634409.0,3654949.0,3677765.0,3706523.0,3735156.0,3763806.0,3795917.0,3829184.0,3861673.0,3893594.0,3925229.0,3956229.0,3987087.0,4018796.0,4050990.0,4080569.0,4049468.0,4072929.0,4098855.0,4124966.0,4146899.0,4173335.0,4201107.0,4228445.0,4257682.0,4286546.0,4314191.0,4341333.0,4366140.0,4407658.0,4443134.0,4459302.0,4479167.0,4497310.0,4519904.0,4539060.0
East Asia & Pacific (excluding high income),EAP,895961535.0,895534581.0,907473022.0,930810837.0,953783472.0,977366928.0,1004271490.0,1030471073.0,1057697808.0,1086662478.0,1116395242.0,1146649477.0,1175176176.0,1202715705.0,1228688547.0,1252174248.0,1273922384.0,1294303118.0,1314775496.0,1335637622.0,1356226475.0,1377473854.0,1401081634.0,1424971585.0,1447871073.0,1471340337.0,1496124294.0,1522374575.0,1549038591.0,1575101307.0,1600739173.0,1625498444.0,1648872786.0,1671604370.0,1694244506.0,1716602413.0,1738632397.0,1760512371.0,1781546477.0,1800932833.0,1819011507.0,1836260943.0,1852659155.0,1868409996.0,1883675167.0,1898853723.0,1914002124.0,1929185103.0,1944305887.0,1959017463.0,1973602166.0,1989106668.0,2006566431.0,2023850158.0,2040383789.0,2056050896.0,2071486140.0,2087238522.0,2100698838.0,2112289891.0,2121866294.0,2128553744.0,2133560408.0,2137527754.0,2141122258.0
Early-demographic dividend,EAR,968909356.0,994176841.0,1020130725.0,1046697479.0,1074021283.0,1101264258.0,1128474732.0,1156817324.0,1185936827.0,1215536741.0,1245960808.0,1276141826.0,1307009646.0,1339671375.0,1373219822.0,1407636737.0,1442753987.0,1478479688.0,1514572817.0,1552194676.0,1591961664.0,1634107159.0,1677532811.0,1721104015.0,1765269111.0,1810019176.0,1855391159.0,1901405537.0,1947928955.0,1994666990.0,2044241467.0,2092102478.0,2138854231.0,2184656122.0,2228719169.0,2273692181.0,2321284245.0,2369042441.0,2416119734.0,2462704115.0,2509431470.0,2556335424.0,2601917557.0,2647109296.0,2693184997.0,2738846905.0,2784726644.0,2830531957.0,2875943965.0,2921563644.0,2967104472.0,3013476947.0,3058869436.0,3103677284.0,3146800078.0,3190318707.0,3233033717.0,3274060446.0,3314245247.0,3355014793.0,3396051187.0,3432026092.0,3470644834.0,3511607650.0,3552278604.0
East Asia & Pacific,EAS,1042818620.0,1044749888.0,1059216594.0,1085095424.0,1110651177.0,1136869154.0,1166223463.0,1194633135.0,1224397449.0,1256167955.0,1288721548.0,1322856516.0,1354228289.0,1384605041.0,1413496627.0,1439634332.0,1463747757.0,1486397441.0,1509073118.0,1532261700.0,1555055871.0,1578588756.0,1604460320.0,1630462798.0,1655263328.0,1680467718.0,1706848439.0,1734703629.0,1762936165.0,1790597018.0,1817735909.0,1844189975.0,1869074614.0,1893258583.0,1917389243.0,1941185229.0,1964830092.0,1988067577.0,2010443502.0,2030912462.0,2050149617.0,2068682053.0,2086144389.0,2102761941.0,2118747885.0,2134573057.0,2150688938.0,2167046538.0,2183472438.0,2199148703.0,2214613815.0,2230826576.0,2249081393.0,2267072102.0,2284385542.0,2300844269.0,2317076058.0,2333475520.0,2347576325.0,2359762190.0,2369420882.0,2375117716.0,2379617118.0,2384441485.0,2388319494.0
Europe & Central Asia (excluding high income),ECA,128810451.0,131617926.0,134400419.0,137187829.0,139973968.0,142668572.0,145371529.0,148087983.0,150777578.0,153462746.0,155918823.0,158428591.0,161049046.0,163601189.0,166121814.0,168594458.0,171119860.0,173726978.0,176315643.0,178774505.0,181309432.0,183746315.0,186272610.0,188979984.0,191755370.0,194525195.0,197344981.0,200194022.0,202990335.0,205733205.0,208212866.0,210169114.0,212032319.0,213395945.0,214329901.0,215114964.0,216002100.0,216672059.0,217104725.0,217579952.0,218486598.0,219435056.0,220400259.0,221399692.0,222413290.0,223360135.0,224417513.0,225016072.0,226524480.0,228250911.0,230106440.0,231988438.0,233875199.0,235905150.0,237999321.0,240083379.0,242224182.0,244308649.0,246400484.0,248576676.0,250351240.0,251867727.0,250514347.0,248721385.0,250281521.0
